property_description,id,owner,listing_type,date,price,no_of_reviews,neighbourhood,latitude,longitude
Beautiful unit at The Sail@Marina,5787221,Ploy,Home,7/2/23,237,16,Downtown Core,1.28209,103.85191
The Heritage Place,20004744,Mag,Home,7/8/23,158,35,Outram,1.28031,103.83971
Best place near novena mrt 2Bedroom,29063078,Li,Home,6/10/23,158,11,Novena,1.32207,103.84228
Luxury studio @ Bugis MRT & Arab St,33812529,Squirrel Homes,Home,12/8/23,158,12,Downtown Core,1.30036,103.85771
Chinatown Warm & Modern Studio Apartment,15792808,Heritage Apartments,Home,7/12/23,94,67,Outram,1.28148,103.84682
Fantastic Location 2 Bedroom 2 Bathroom Apartment!,30969285,Tanya,Home,6/7/23,235,32,Rochor,1.30077,103.85132
Serviced Luxury Compact Suite at City Fringe A01,23615310,Simon,Home,2/9/23,156,36,Novena,1.32279,103.85368
Serviced Luxury Suite at City Fringe A02,23650923,Simon,Not Home,13/8/23,156,15,Novena,1.32467,103.85258
Studio in the heart of Chinatown,6906010,Alex,Home,29/5/23,115,44,Outram,1.28343,103.84512
Studio apt opp Chinatown MRT,15722934,Alex,Home,12/7/23,115,41,Outram,1.28351,103.84418
CBD City View Room near Clark Quay & Orchard,23956150,Belle,Not Home,25/4/23,115,40,River Valley,1.29303,103.83687
Cosy 1 bedroom near orchard,8823446,Cj,Home,22/6/23,151,14,Tanglin,1.29417,103.82827
Nicely furnish 1 bedroom Walk Up Apt (Sophia Rd),5750637,Shirley,Home,28/6/23,90,23,Rochor,1.30258,103.84811
Smart Studio near CBD,26964529,Amelia,Home,10/8/23,150,34,Outram,1.28367,103.84527
Hippie Studio at Town,26309079,Amelia,Home,12/5/23,150,40,Outram,1.28191,103.84665
"Light filled maisonette apartment, 3 mins from MRT",25759552,Jiayi,Home,5/8/23,150,31,Rochor,1.31102,103.85338
❀❀2BR CosyPrivate beside shopping mall,4432379,Alvin,Home,12/2/23,149,28,Novena,1.32546,103.8519
Studio Apartment (Opposite Chinatown MRT),6300043,Shirley,Home,20/8/23,110,44,Outram,1.28342,103.84553
Studio unit in River Valley,14557631,Alex,Home,8/8/23,110,69,River Valley,1.29461,103.83991
2 Bedroom Apt@ Orchard/Central Area,3423511,Rc,Home,15/8/23,219,154,River Valley,1.29499,103.83852
MODERN STUDIO APT ALONG ORCHARD RD,6100964,Liz,Home,6/8/23,219,123,Orchard,1.30067,103.8392
Central Haven,4108082,Callie & Kel,Home,4/8/23,218,289,Tanglin,1.29312,103.82979
Lucky Apartment,9927723,Harry Dzung,Home,21/7/23,210,169,Orchard,1.30368,103.83469
1br Cozy Somerset  Next to MRT,32058632,Ben,Home,9/8/23,210,12,Orchard,1.30172,103.83955
1br Central Orchard Next to MRT,23804237,Ben,Home,20/8/23,210,35,Newton,1.30203,103.83936
Your condo flat @ Orchard,9985237,Karma,Home,25/7/23,141,28,River Valley,1.29805,103.83698
Modern apartment near Orchard/CBD,10916250,Jacelyn,Home,29/7/23,141,23,Tanglin,1.29446,103.82572
CBD Luxury bedroom in condo in Marina Bay!,12257654,Marina,Not Home,23/8/23,141,26,Downtown Core,1.2806,103.85465
Space Studio @ Chinatown & Business District,26931333,Amelia,Home,1/7/23,137,29,Outram,1.28289,103.84523
Orchard Studio w Awesome Kitchen Emerald Hill Rd#8,8372023,Bc,Home,12/8/23,135,71,Newton,1.30543,103.8403
Upscale Studio Emerald Hill 3,8372113,Bc,Home,8/8/23,135,69,Newton,1.30488,103.84002
Classic 1BR apartment located in Orchard,33429823,Jo,Home,13/8/23,135,39,Tanglin,1.31071,103.82708
NOVENA CONDO (1+1) NEXT TO MEDICAL HUB,12035349,Alfred,Home,6/8/23,100,35,Novena,1.32005,103.84533
Huge central condo city harbour views Downtown CDB,16385749,Alex,Home,2/8/23,400,235,Downtown Core,1.27675,103.84515
*PROMO* ♦ Spacious Room in the Heart of Orchard ♦,28423802,Mandarin Orchard Singapore,Not Home,9/8/23,400,22,Orchard,1.3026,103.83728
"Bright & Charming 1BR Shophouse Apt, 3mins to MRT",23831239,Jiayi,Home,11/6/23,131,70,Rochor,1.30307,103.85025
"Deluxe 1 Bedroom, Sommerset 7",7570596,Bc,Home,2/8/23,129,65,Newton,1.3055,103.84008
Fully Serviced Luxury Suite At City Fringe B05,20059256,Simon,Home,23/7/23,128,20,Novena,1.32291,103.85248
NEW 2 Bedroom Apt @ City/ Orchard/Somerset Area,30896151,Ong,Home,23/8/23,190,23,River Valley,1.29511,103.83917
Cosy 2 bedrm studio balestier 201 nr Novena,11235360,Anthony,Home,23/7/23,187,33,Novena,1.32335,103.85289
PROMO!! 1B Deluxe apartment perfect for Staycation,23812922,Anna,Home,23/8/23,374,22,Orchard,1.3038,103.8367
PROMO!! 1B Deluxe apartment perfect for Staycation,23813332,Anna,Home,20/3/23,374,13,Orchard,1.30295,103.83615
Whole condo nearby Orchard road,23508635,Yuki,Home,23/8/23,187,36,Rochor,1.30279,103.84704
Central Resort-style Condo-Orchard/Cityhall/Bugis,9239823,Till,Not Home,21/5/23,119,21,Rochor,1.30217,103.84695
"Private 1BR apartment, 3 mins from subway",14603872,Jiayi,Home,25/8/23,119,104,Rochor,1.3108,103.85412
"Private apartment, 3mins from MRT",14655886,Jiawen,Home,22/2/23,119,70,Rochor,1.31089,103.85344
Bright & Airy 1BR private apartment 3mins from MRT,14791235,Jiayi,Home,10/8/23,119,83,Rochor,1.30992,103.85421
Fully Serviced Luxury Suite at City Fringe B03,20040797,Simon,Home,10/8/23,118,25,Novena,1.32507,103.85357
Luxury Serviced Suite At City Fringe B04,20060105,Simon,Home,31/7/23,118,22,Novena,1.32319,103.85231
Comfy 2 Queen Beds Studio Apt@Central/Orchard Area,16401676,Ong,Home,12/8/23,175,67,River Valley,1.29834,103.83997
Nice small room near Orchard road,29766008,Alyna,Not Home,2/8/23,50,23,River Valley,1.29684,103.83842
Penthouse Studio near Mustafa Centre,23259421,Tahmina,Home,9/6/23,114,44,Rochor,1.30938,103.85375
Quality Private Spacious room @ Chinatown MRT,28748380,Regina & Co.,Not Home,6/6/23,85,13,Outram,1.28647,103.84291
NEW Modern 2 Queen Bed Studio Apt @Orchard/Central,16584402,Pat,Home,1/3/23,169,95,River Valley,1.29678,103.83982
1br Bright Novena near to MRT,29603152,Ben,Home,23/6/23,169,23,Novena,1.3174,103.84694
NEW & Cozy 2 Queen Beds Studio @ City/Orchard Area,22300531,L,Home,25/7/23,169,11,River Valley,1.29501,103.83984
Beautiful Central Orchard Rd Lucky Plaza Apartment,28271558,Vicky,Home,20/4/23,331,59,Orchard,1.30557,103.83289
Maison Ava402,11302386,Anthony,Home,14/7/23,110,25,Novena,1.32341,103.85356
Maison Ava302,11380963,Anthony,Home,28/1/23,110,25,Novena,1.3229,103.85364
Cosy 2 QueenBeds Studio Apt @Somerset/Orchard Area,23712132,Rc,Home,27/7/23,165,35,River Valley,1.29664,103.83987
Cozy Shophouse Studio Apartment 3 mins from MRT,23780571,Jiayi,Home,14/7/23,110,50,Rochor,1.30251,103.84918
"10min to Bugis, Orchard Rd, Modern Studio#282",23132022,Marshall,Home,8/8/23,108,29,Rochor,1.30352,103.84794
New Spacious 2 Queen Beds Apt @ CITY Central,11687045,L,Home,14/8/23,160,144,River Valley,1.29612,103.83874
NEW & Spacious 2 queen beds Studio Apt /WIFI@ CITY,23471289,Ong,Home,21/8/23,160,85,River Valley,1.2953,103.83853
2br Luxury Orchard Rd Beside MRT,4828432,Ben,Home,10/7/23,323,13,Orchard,1.30352,103.83483
Central 2BR Downtown Harbour Views CBD Chinatown,33922312,Alex,Home,4/12/23,323,22,Downtown Core,1.27653,103.84633
Maison Ava401,11263684,Anthony,Home,11/8/23,108,21,Novena,1.32322,103.85158
2 Queen-Beds Bedroom Suite @ Somerset/Orchard Area,23629485,Ong,Not Home,29/7/23,158,21,River Valley,1.29776,103.83889
PROMO! Comfy Nest in the Heart of Orchard (Studio),23798438,Anna,Home,11/8/23,303,13,Newton,1.30311,103.83796
PROMO! Comfy Nest in the Heart of Orchard (Studio),23798496,Anna,Home,21/8/23,303,32,Orchard,1.30453,103.83682
Relaxed & Spacious Studio w JACUZZI,3753251,Rc,Home,30/4/23,150,220,River Valley,1.29533,103.83797
Master room next to bencoolen station,10626378,Tryston,Not Home,14/8/23,75,14,Rochor,1.29989,103.85063
Loft studio at Orchard Rd,16044788,Tryston,Not Home,6/5/23,100,12,Newton,1.30518,103.84066
Orchard Rd - Big Master Room,23275135,Tryston,Not Home,21/7/23,100,11,Newton,1.30449,103.83844
Spacious bedroom near city centre with free Wi-Fi,23234502,Esther,Not Home,27/8/23,300,23,Downtown Core,1.27438,103.84429
Spacious bedroom near city centre with free Wi-Fi,23234503,Esther,Not Home,25/5/23,300,16,Outram,1.27551,103.84276
Stunning Duplex - Private pool in Little India,22304236,Emeline,Home,23/8/23,150,16,Rochor,1.31092,103.85328
COMFY STUDIO APT @ ORCHARD/SOMERSET,29662678,Joel,Home,24/5/23,150,36,River Valley,1.29615,103.83777
Orchard Resort-Style Apartment with Doorstep Pool!,29962235,Ken And Rain,Home,12/7/23,300,34,Tanglin,1.29505,103.82647
CUSHY STUDIO APT @ ORCHARD/SOMERSET,33795262,Joel,Home,8/8/23,150,15,River Valley,1.2965,103.83999
Fantasy 2 bed room downtown luxury condo,26733957,Mandelyn,Home,29/7/23,149,43,Novena,1.32112,103.85381
A comfortable home away from home.,14580396,Eugene,Not Home,12/5/23,99,45,Newton,1.30846,103.83933
CitySkylines@Chinatown,31573008,Ong,Not Home,26/8/23,99,23,Outram,1.28325,103.84138
New Comfy 2 Queen Beds Room-Suite @ City Central,32837771,Rc,Not Home,20/9/23,144,13,River Valley,1.29709,103.83904
3 Bed Room Luxury Suite near Ochard RoadnextMRT,29928739,Z,Home,29/7/23,287,54,River Valley,1.29389,103.83754
Nice Apartment/Orchard MRT/Large Group/Cheap,9506967,Jv,Home,29/7/23,281,202,Orchard,1.30418,103.83449
Super Host Apartment,1023986,Martin,Home,25/8/23,140,145,River Valley,1.29349,103.83837
4-Bed Not Home - Steps from Chinatown MRT!,3723223,Royal,Not Home,23/8/23,140,48,Outram,1.28354,103.84331
New & Cosy Studio Apt @ Orchard Area,11520426,Rc,Home,29/5/23,140,39,River Valley,1.29679,103.83979
New Spacious Studio Apt @ Somerset /Orchard Area,15364548,Ong,Home,5/12/23,140,37,River Valley,1.29577,103.83939
2 Queen Beds Room Suite/Wifi@Somerset/Orchard Area,30815841,Rc,Not Home,10/3/23,140,21,River Valley,1.29453,103.83946
NEW Cosy Studio Apt /WIFI @ Central / Orchard Area,15394784,L,Home,22/7/23,139,11,River Valley,1.29684,103.84017
Comfy Studio Apartment at Somerset / Orchard Area,23623960,Rc,Home,11/8/23,139,42,River Valley,1.29832,103.84021
Cozy Studio Apartment w WIFI near Somerset/Orchard,23627294,Pat,Home,1/8/23,139,43,River Valley,1.29744,103.83972
Studio Apt w Balcony /WIFI @ Orchard/Somerset Area,23294968,Rc,Home,13/7/23,139,11,River Valley,1.29417,103.83786
"A - UNIQUE! Lovely, Sunlit Loft @ Town!",30069860,Ada,Home,7/8/23,139,11,Tanglin,1.29484,103.83021
NEW & Cozy Studio APT/WIFI @ Orchard/Somerset Area,22373946,Pat,Home,8/8/23,139,11,River Valley,1.29522,103.8394
Heritage Modern Studio Apt @ Central/Orchard Area,16748453,Rc,Home,29/7/23,137,108,Orchard,1.29892,103.83927
NEW Cosy & Relaxing near Somerset/Orchard Shopping,21257593,Pat,Home,13/8/23,137,23,River Valley,1.29632,103.8376
New & Cosy Studio Apt /WIFI @Orchard /Central Area,11521661,Rc,Home,25/5/23,135,39,River Valley,1.29497,103.83823
Prime CBD club street Heritage Loft S7,12323134,Elise,Home,26/5/23,135,83,Outram,1.28192,103.84399
"Prime CBD Club Street, Heritage S8!",12363888,Elise,Home,29/7/23,135,51,Outram,1.28202,103.8467
City Studio Apartment /WIFI@ Orchard/ Central Area,16332500,Ong,Home,4/7/23,135,22,River Valley,1.29463,103.83995
Rain Forest View Retreat Suite for Women,8156821,Takico,Not Home,4/8/23,89,28,Novena,1.3404,103.82685
"M - UNIQUE! Lovely, Sunlit Loft at Town!",25143657,Mindy,Home,31/7/23,132,34,Tanglin,1.29477,103.82821
Prime CBD Club Street heritage Loft S2,3207234,Elise,Home,8/8/23,131,52,Outram,1.28362,103.84552
Entire home/Studio Apt - Near Somerset/Orchard/CBD,11523055,L,Home,7/8/23,131,16,Orchard,1.29895,103.83824
"Fabulous Fern Room: Central, 5 mins Walk to MRT",21556992,"Jon, Ams & Friends",Not Home,1/8/23,131,31,Rochor,1.30869,103.85607
"Lush Tropical Room, Cultural Quarter 5 mins to MRT",21557075,"Jon, Ams & Friends",Not Home,3/7/23,131,30,Rochor,1.30818,103.85541
Chinatown: In the Heart of the City,9532788,Ong,Not Home,3/10/23,87,235,Outram,1.28329,103.84251
CityLiving Chinatown,9746208,Ong,Not Home,6/8/23,87,141,Outram,1.28294,103.84387
New Studio Apt @ Orchard/ Central Area...,2612906,Rc,Home,2/7/23,128,70,River Valley,1.29773,103.83919
Great Location Cozy Studio Apt /WIFI@ Orchard Area,16565237,Ong,Home,23/5/23,128,78,Orchard,1.29999,103.83991
Orchard Ensuite room,23882384,Tryston,Not Home,26/7/23,85,15,Orchard,1.30172,103.83815
New Studio Apt @Orchard/Central,3116909,Rc,Home,23/8/23,125,93,River Valley,1.29792,103.83781
2BR Apt near Orchard Rd/Bugis (1min to Rochor MRT),7039222,Cheryl,Home,24/8/23,250,238,Rochor,1.3026,103.85195
"Metropolitan living-2stop 2Orchard, MBS/RWS 15mins",33436577,Bert,Home,23/8/23,125,12,Tanglin,1.29572,103.82672
"Spacious central views CBD, Downtown and Harbour",35973548,Alex,Home,21/8/23,250,11,Downtown Core,1.2763,103.84528
Singapore Apartment (P2),28467645,Lucy,Home,5/8/23,239,27,River Valley,1.29448,103.83753
3BR Newton/Novena MRT/Bus 3-5min to Orchard 9+ pax,25716782,Kenny,Home,27/7/23,239,44,Novena,1.31717,103.84323
2Bed Room Luxury Suite near Ochard RoadnextMRT,33823127,Z,Home,4/8/23,239,20,River Valley,1.29524,103.83787
"M - NEW! Sunny & Modern Apt , Four mins to Orchard",25086316,Mindy,Home,20/7/23,119,34,Tanglin,1.29467,103.83019
"10 min walk to Orchard Rd,Modern Studio#280",21266790,Marshall,Home,23/8/23,78,49,Rochor,1.30135,103.84823
Daycation Studio Nearby Velocity,30523084,Jimmy,Home,22/8/23,78,23,Novena,1.31912,103.8486
Staycation Studio Nearby Novena MRT Station,30523482,Jimmy,Home,23/8/23,78,15,Novena,1.31911,103.84757
nCentralised 3BRs near Orchard Rd近地铁市中心好房@near MRT,23883109,Chris,Home,2/6/23,239,30,Novena,1.31815,103.84191
"nCity Apt with 3BRs near Orchard Rd靠近乌节路市中心,地铁@MRT",28574569,Chris,Home,30/6/23,239,14,Novena,1.31792,103.84233
S7 @ City Central,5376232,Studios,Home,3/8/23,119,230,Rochor,1.30376,103.85471
Charming Trees Room · Heritage Zone 5mins to MRT,21555786,"Jon, Ams & Friends",Not Home,6/7/23,119,37,Rochor,1.30784,103.85741
Special promo: Spacious room on Orchard Road,22679150,Gretchen,Not Home,2/7/23,79,11,River Valley,1.30303,103.82661
NEW Compact Studio Apt/WIFI @Orchard/Somerset Area,29210089,Rc,Home,8/7/23,118,22,River Valley,1.29747,103.8393
S2 @ City Central,5355795,Studios,Home,2/8/23,115,238,Rochor,1.30402,103.85423
S6 @ City Central,5376230,Studios,Home,20/8/23,115,238,Rochor,1.30543,103.85647
Compact Studio Apt / WIFI @ Orchard/Somerset Area,25236090,Ong,Home,6/8/23,115,28,River Valley,1.29437,103.84026
CHIC LARGE ROOM IN THE HEART OF SINGAPORE!,23052376,Mk,Not Home,1/1/23,75,29,Newton,1.31009,103.83928
Maison Ava202,11380721,Anthony,Home,11/8/23,110,35,Novena,1.32318,103.85313
S5 @ City Central,5377342,Studios,Home,5/8/23,106,236,Rochor,1.30386,103.85459
Central Studio Apt /WIFI @ Orchard /Somerset Area,16578060,Ong,Home,11/8/23,106,123,River Valley,1.29661,103.83932
Spacious Rm R1: Bugis/Dhoby/Orchard,10823460,That Green Corner,Not Home,14/7/23,104,121,Rochor,1.30264,103.85127
Our cosy home in Central Singapore,23254294,F & T,Not Home,23/6/23,69,92,Novena,1.31218,103.84303
Black & White Studio 5,7054222,Joey,Not Home,28/7/23,100,226,Rochor,1.30105,103.84786
NEW Cozy Bedroom Suite/ WIFI@Orchard/Somerset Area,23039775,L,Not Home,5/6/23,100,59,River Valley,1.29587,103.83799
NEW Room Suite/Private Bath/Wifi @Somerset/Orchard,21232515,Pat,Not Home,10/8/23,119,34,River Valley,1.29704,103.83766
"Flock Room · Central, Walk to MRT & Tourist Sights",21556650,"Jon, Ams & Friends",Not Home,28/4/23,119,60,Rochor,1.30777,103.85527
Forest Room · Vibrant Cultural Spot 5 mins to MRT,21612799,"Jon, Ams & Friends",Not Home,21/8/23,119,50,Rochor,1.30757,103.85566
"Sunny Sky Room in Cultural Quarter, 5 mins to MRT",21554434,"Jon, Ams & Friends",Not Home,23/8/23,119,39,Rochor,1.30978,103.85537
Comfy Bedroom En-Suite/WiFi @ Orchard/Central area,15533066,Ong,Not Home,12/8/23,118,76,Orchard,1.29898,103.83789
Cosy Modern Room in Novena Minutes from the City,15002387,Jack,Not Home,13/8/23,78,13,Novena,1.32433,103.84354
Smart penthouse.2 bedroom apartment,23353251,Lucy,Home,27/11/23,231,100,Tanglin,1.2958,103.8285
S1 @ City Central,5377148,Studios,Home,24/8/23,115,153,Rochor,1.30541,103.85508
Cosy En-suite Bedroom Suite @Orchard/ City Area,10225514,Rc,Not Home,8/8/23,115,40,River Valley,1.29579,103.84014
NEW En-Suite BR @ Somerset/Orchard,12313539,Ong,Not Home,7/5/23,115,36,River Valley,1.29502,103.83949
STYLISH ROOM in HEART OF ISLAND!!,23235755,Mk,Not Home,2/5/23,77,105,Newton,1.30968,103.84143
Within a stone's throw from Orchard,4087935,Marty,Not Home,23/8/23,119,13,Novena,1.31718,103.84287
Snuggish Room with Alcove Ceiling,23979977,M Social,Not Home,23/3/23,238,22,River Valley,1.29168,103.83847
Nice and cozzy room without window.,9635232,Ong,Not Home,23/11/23,78,232,Outram,1.28471,103.8436
New En-Suite BR @ Orchard Area/ CBD,11672361,L,Not Home,20/7/23,117,72,River Valley,1.2951,103.83863
Private En-Suite BR /WIFI @ Orchard/Central area,15533093,Ong,Not Home,12/8/23,117,35,River Valley,1.29731,103.83798
NEW Private Cosy Bedroom /WIFI @ City Central,15581232,L,Not Home,14/6/23,117,40,River Valley,1.29592,103.83993
NEW Cosy Private En-Suite Room @Orchard Area/City,15581233,L,Not Home,30/6/23,117,47,River Valley,1.29554,103.83903
Centre of Chinatown.,16309636,Ong,Not Home,15/1/23,117,54,Outram,1.28452,103.84156
Comfy Bedroom En-suite/WIFI @Somerset/Orchard Area,16598021,L,Not Home,23/8/23,117,96,Orchard,1.29943,103.83793
NEW Private Cosy Bedroom /WIFI @ Central/ Orchard,29256550,L,Not Home,29/4/23,117,14,River Valley,1.2971,103.84013
NEW En-suite Bedroom /WIFI near Orchard/Somerset,30898788,L,Not Home,2/9/23,117,23,River Valley,1.29486,103.84006
Cosy 2 Bedrooms Apartment in Center,30034375,Sarah,Home,13/8/23,231,37,Rochor,1.30898,103.85098
Your first home in Singapore,7682374,Ine,Not Home,15/5/23,115,11,Tanglin,1.29325,103.82334
Private Bedroom Suite/ WIFI @ Central/Orchard Area,15547723,Ong,Not Home,3/8/23,115,39,River Valley,1.29889,103.83995
NEW Cosy Room Suite/WIFI @ Orchard/Somerset Area,15581233,L,Not Home,24/8/23,115,80,Orchard,1.29843,103.83836
"Queen Bed wz Private Bathroom, Ladies or Couples",14790116,Gigi S G,Not Home,11/8/23,56,30,Novena,1.32411,103.85093
"Simple room, perfect central location in Chinatown",22351407,Marc,Not Home,28/7/23,56,74,Outram,1.28237,103.84367
"1+1 Hotel Condo,Near Dhoby Ghaut MRT",30282012,Joseph,Home,7/8/23,83,20,Rochor,1.30232,103.84887
New & Compact Bedroom Suite /WIFI @Central/Orchard,30900595,Pat,Not Home,22/8/23,82,12,River Valley,1.29662,103.8386
Spacious Not Home in City fringe Apt 套房民宿 202,28813059,Teddy,Not Home,13/8/23,81,23,Novena,1.32214,103.8542
1+1 Hotel Style Condo.  Near Dhoby Ghaut MRT.市中心公寓,22694427,Joseph,Home,31/7/23,81,55,Rochor,1.3029,103.84792
Private bedroom and bathroom in beautiful condo,30389028,Mairéad,Not Home,9/8/23,81,30,Downtown Core,1.27645,103.84845
[Central] Cozy Condo with Instagrammable Sea view,26722597,Li,Home,12/8/23,160,14,Downtown Core,1.27741,103.85069
Luke's,31106977,Wankeun,Not Home,3/8/23,160,11,Newton,1.30545,103.83616
NEW Home in the city! Mins to Novena MRT & Orchard,23958774,Crystal,Home,16/6/23,160,85,Novena,1.31633,103.84537
City Room 2 Beds @ Town_2,16982348,Trisno,Not Home,2/7/23,158,23,Orchard,1.30388,103.83358
@4pax family dormitory,27530446,Heritage,Not Home,3/6/23,158,23,Outram,1.28178,103.84419
City Fringe Cosy Comfy Not Home 套房民俗 203,28813662,Teddy,Not Home,21/7/23,78,36,Novena,1.32219,103.85242
Master Bedroom in CBD/Heart of City/end Orchard(6),23452331,Justin,Not Home,28/7/23,76,131,Rochor,1.30426,103.85
"CapsulePod (2x Queen Beds, private bathroom)",14305256,Keith,Not Home,27/1/23,150,11,Outram,1.28358,103.84376
Peranakan Style Room Away,16168152,Alice,Not Home,6/8/23,75,70,Newton,1.306,103.84014
City Apartment Rm w/ BathRoom @ Orchard_10,16423299,Julie,Not Home,29/7/23,150,13,Orchard,1.30375,103.83339
M Residence,20950425,Bella,Home,5/8/23,150,47,Rochor,1.31101,103.8536
Family Room For 6 (Free Breakfast),34237086,Seven,Not Home,21/8/23,150,11,Rochor,1.30748,103.85335
STYLISH COSY ROOM NEAR BUGIS,35265440,Lucinda,Not Home,23/7/23,75,23,Downtown Core,1.29867,103.85764
Spacious Bedroom Suite- 2 Queen Bed,10381460,Rc,Not Home,14/5/23,144,150,River Valley,1.29671,103.8404
New Cozy Studio Apt @Orchard Area,2090082,Rc,Home,31/7/23,140,100,River Valley,1.29815,103.83895
1BR Apt5 Little India/Farrer Park MRT 2-3mins Walk,23577623,Meadowland,Home,14/7/23,140,53,Rochor,1.30943,103.85413
Apt2 in Little India/Farrer Park MRT 2-3mins Walk,23666662,Meadowland,Home,22/8/23,140,72,Rochor,1.31071,103.85229
1BR Apt4 Little India/Farrer Park MRT 2-3mins Walk,23901231,Meadowland,Home,10/8/23,140,45,Rochor,1.31095,103.85263
"Studio unit for 4, family are welcomed!",29166022,Lulier,Home,28/7/23,140,13,Outram,1.28364,103.84501
"Stylish and Spacious, Elegant Kinfolk Loft!",12839857,Shu,Home,2/8/23,139,201,Rochor,1.31266,103.85471
Studio unit for 2 in Central! Near Food and MRT!,29165650,Lulier,Home,3/9/23,139,26,Outram,1.28341,103.84499
"A - Private, Cozy Apt, 3 mins to Orchard Road",30053313,Ada,Home,8/8/23,139,11,Tanglin,1.29735,103.82904
Cozy Room @Central Area,982909,Yuan,Not Home,7/8/23,69,222,Novena,1.33334,103.8327
Chic New Cozy Studio Apt @ Orchard,3460343,Rc,Home,12/8/23,137,239,River Valley,1.29783,103.83936
Charming Spacious Studio Apt/WIFI @ Somerset Area,16747836,Rc,Home,21/7/23,137,23,River Valley,1.29549,103.83805
Spacious studio unit for 4 in Central!,29112370,Lulier,Home,12/8/23,137,23,Outram,1.28288,103.84675
Family Room - Jalan Besar,30126894,Tina,Not Home,6/8/23,68,25,Rochor,1.30489,103.8554
"Bright & Airy, Industrial Chic Shophouse!",12805743,Shu,Home,8/8/23,135,234,Rochor,1.31276,103.85452
SPACIOUS CLEAN ROOM WITH 2 SINGLE BEDS NEAR BUGIS,35230729,Lucinda,Not Home,11/8/23,67,23,Downtown Core,1.2968,103.85578
Family room for 4 pax,8212322,Gfourstation,Not Home,10/8/23,131,25,Rochor,1.30573,103.84885
Apt3T Little India/FarrerParkMRT 2-3minWalk,23662873,Meadowland,Home,13/8/23,131,68,Rochor,1.30982,103.85351
Apt5T Little India/FarrerParkMRT 2-3minWalk,23469757,Meadowland,Home,3/6/23,131,57,Rochor,1.30987,103.85417
Deluxe Double Room in City Center,21605333,The Quay,Not Home,1/3/23,131,33,Downtown Core,1.28611,103.84791
5 mins walk from Newton subway,294281,Elizabeth,Not Home,14/8/23,65,125,Newton,1.31125,103.83816
New Heritage Modern 1BR Apt@Orchard,7399093,Rc,Home,20/7/23,128,46,River Valley,1.29484,103.83859
Not Home in a charming heritage appartment,31627432,Laetitia,Not Home,13/8/23,64,23,Novena,1.31672,103.8386
Cozy Studio Centrally Located Near to Mrt,33669231,Bella,Home,6/7/23,125,12,Rochor,1.31009,103.85392
Private bedroom @CBD/end Orchard/Rochor (1),23443232,Justin,Not Home,3/6/23,62,134,Rochor,1.30254,103.84874
Perfect double room@city hall,22778233,Apple,Not Home,30/3/23,62,43,Downtown Core,1.29779,103.85672
"A - Brand-New Charming, Quiet Studio for Two",30048429,Ada,Home,24/8/23,122,14,Tanglin,1.29312,103.83046
5mins from Newton Train Station,369141,Elizabeth,Not Home,24/7/23,60,84,Newton,1.3115,103.83759
5 mins walk from Newton MRT,369145,Elizabeth,Not Home,20/10/23,60,157,Newton,1.31159,103.83805
★★★BrilliantCityCtrRoom/Orchard/ClarkeQuay★,32537098,Beth,Not Home,23/8/23,60,32,Tanglin,1.29432,103.82978
Superior Double Room in City Center,21428446,The Quay,Not Home,23/7/23,123,29,Singapore River,1.28819,103.84896
Cozy room in Newton,15991345,Elizabeth,Not Home,31/5/23,58,25,Newton,1.31093,103.83939
"Modern Place, Value for Money for 1 or more...",23140847,Shan Bros,Not Home,4/8/23,58,92,Rochor,1.30735,103.85219
Skylight bedroom in CBD & End of Orchard(3) +WIFI,23094235,Diane,Not Home,25/8/23,56,100,Rochor,1.30415,103.85018
City Apartment Rm w/  2 Beds @ Orchard_4,23516282,Julie,Not Home,13/8/23,110,23,Orchard,1.30379,103.8342
luke's master room,31152040,Wankeun,Not Home,8/8/23,110,13,Newton,1.30619,103.83524
"City Centre, Cozy Place for 1 or more..",23284913,Shan Bros,Not Home,27/7/23,54,96,Rochor,1.30883,103.85311
Bugis/Dhoby/Orchard: Spacious Rm R1,22561162,That Green Corner,Not Home,24/7/23,104,23,Rochor,1.3024,103.85073
Bugis/Dhoby/Orchard: Spacious Rm R2,22560212,That Green Corner,Not Home,11/3/23,104,33,Rochor,1.30187,103.85224
Chinatown - Luxury [Mixed] Queen Capsule,29526045,Kay,Not Home,10/6/23,100,21,Outram,1.28199,103.84353
"Not Home for 5 paxes near MRT, shops, eateries",30971262,Paryani,Not Home,27/7/23,100,26,Newton,1.30548,103.84682
Brand new Hotel 2387 Single Room 3 with BreakFast,27036742,Bryan,Not Home,13/8/23,100,11,Outram,1.28189,103.84436
Luxurious En Suite 1 Near Orchard,5493930,Anita & David,Not Home,15/7/23,99,238,Novena,1.3195,103.84791
Bugis/Dhoby/Orchard: Spacious Rm L2,22557532,That Green Corner,Not Home,23/1/23,99,31,Rochor,1.30104,103.85238
